id,juId,content,poetId,poetName,poetryId,poetryName
1,2,山不在高，有仙则名。水不在深，有龙则灵。,197,刘禹锡,71138,陋室铭
2,3,醉翁之意不在酒，在乎山水之间也。,561,欧阳修,47919,醉翁亭记
3,4,万里赴戎机，关山度若飞。,0,,71131,木兰诗 / 木兰辞
4,5,蜀江水碧蜀山青，圣主朝朝暮暮情。,665,白居易,21744,长恨歌
5,6,蓬山此去无多路，青鸟殷勤为探看。,204,李商隐,28698,无题·相见时难别亦难
6,7,骊山语罢清宵半，泪雨霖铃终不怨。,188,纳兰性德,70753,木兰花·拟古决绝词柬友
7,8,问君能有几多愁？恰似一江春水向东流。,269,李煜,70838,虞美人·春花秋月何时了
8,9,轮台东门送君去，去时雪满天山路。,113,岑参,9315,白雪歌送武判官归京
9,11,泉眼无声惜细流，树阴照水爱晴柔。,361,杨万里,70970,小池
10,12,孤山寺北贾亭西，水面初平云脚低。,665,白居易,22550,钱塘湖春行
11,13,七八个星天外，两三点雨山前。,217,辛弃疾,57678,西江月·夜行黄沙道中
12,14,枯藤老树昏鸦，小桥流水人家，古道西风瘦马。,306,马致远,69957,天净沙·秋思
13,15,欲渡黄河冰塞川，将登太行雪满山。,247,李白,70874,行路难·其一
14,16,落霞与孤鹜齐飞，秋水共长天一色。,289,王勃,47909,滕王阁序
15,17,寒雨连江夜入吴，平明送客楚山孤。,437,王昌龄,70843,芙蓉楼送辛渐
16,18,谁道人生无再少？门前流水尚能西！休将白发唱黄鸡。,183,苏轼,49573,浣溪沙·游蕲水清泉寺
17,19,春江潮水连海平，海上明月共潮生。,756,张若虚,5256,春江花月夜
18,20,胜日寻芳泗水滨，无边光景一时新。,459,朱熹,70974,春日
19,21,水何澹澹，山岛竦峙。,552,曹操,48005,观沧海
20,22,千山鸟飞绝，万径人踪灭。,646,柳宗元,18302,江雪
21,23,山重水复疑无路，柳暗花明又一村。,272,陆游,69127,游山西村
22,24,花自飘零水自流。一种相思，两处闲愁。,536,李清照,52802,一剪梅·红藕香残玉簟秋
23,25,绿树村边合，青山郭外斜。,757,孟浩然,7411,过故人庄
24,26,采菊东篱下，悠然见南山。,645,陶渊明,70898,饮酒·其五
25,27,咬定青山不放松，立根原在破岩中。,573,郑燮,69361,竹石
26,28,千锤万凿出深山，烈火焚烧若等闲。,654,于谦,69198,石灰吟
27,29,空山新雨后，天气晚来秋。,515,王维,5636,山居秋暝
28,30,客路青山外，行舟绿水前。,117,王湾,5207,次北固山下
29,31,风烟俱净，天山共色。,534,吴均,71147,与朱元思书
30,32,君问归期未有期，巴山夜雨涨秋池。,204,李商隐,28607,夜雨寄北
31,33,京口瓜洲一水间，钟山只隔数重山。,405,王安石,69089,泊船瓜洲
32,34,会当凌绝顶，一览众山小。,474,杜甫,10374,望岳
33,35,巴山楚水凄凉地，二十三年弃置身。,197,刘禹锡,18709,酬乐天扬州初逢席上见赠
34,36,不识庐山真面目，只缘身在此山中。,183,苏轼,69101,题西林壁
35,37,水光潋滟晴方好，山色空蒙雨亦奇。,183,苏轼,70938,饮湖上初晴后雨二首·其二
36,38,山一程，水一程，身向榆关那畔行，夜深千帐灯。,188,纳兰性德,70751,长相思·山一程
37,39,烟笼寒水月笼沙，夜泊秦淮近酒家。,211,杜牧,27713,泊秦淮
38,40,绿遍山原白满川，子规声里雨如烟。,103,翁卷,70979,乡村四月
39,41,水是眼波横，山是眉峰聚。,270,王观,65231,卜算子·送鲍浩然之浙东
40,42,飞流直下三千尺，疑是银河落九天。,247,李白,71193,望庐山瀑布
41,43,青山横北郭，白水绕东城。,247,李白,8156,送友人
42,44,日日思君不见君，共饮长江水。,578,李之仪,49753,卜算子·我住长江头
43,45,日出江花红胜火，春来江水绿如蓝。,665,白居易,2077,忆江南·江南好
44,46,桃花潭水深千尺，不及汪伦送我情。,247,李白,8014,赠汪伦
45,47,白日依山尽，黄河入海流。,447,王之涣,13034,登鹳雀楼
46,48,西塞山前白鹭飞，桃花流水鳜鱼肥。,331,张志和,71049,渔歌子·西塞山前白鹭飞
47,50,千里莺啼绿映红，水村山郭酒旗风。,211,杜牧,27620,江南春
48,51,滚滚长江东逝水，浪花淘尽英雄。,181,杨慎,70696,临江仙·滚滚长江东逝水
49,52,青山依旧在，几度夕阳红。,181,杨慎,70696,临江仙·滚滚长江东逝水
50,53,远看山有色，近听水无声。,515,王维,71047,画
51,54,山映斜阳天接水。芳草无情，更在斜阳外。,510,范仲淹,48203,苏幕遮·怀旧
52,55,人闲桂花落，夜静春山空。,515,王维,5753,鸟鸣涧
53,56,种豆南山下，草盛豆苗稀。,645,陶渊明,70897,归园田居·其三
54,57,山随平野尽，江入大荒流。,247,李白,8089,渡荆门送别
55,58,仍怜故乡水，万里送行舟。,247,李白,8089,渡荆门送别
56,59,黑云翻墨未遮山，白雨跳珠乱入船。,183,苏轼,69100,六月二十七日望湖楼醉书
57,60,料峭春风吹酒醒，微冷，山头斜照却相迎。,183,苏轼,49436,定风波·莫听穿林打叶声
58,61,峨眉山月半轮秋，影入平羌江水流。,247,李白,7863,峨眉山月歌
59,62,姑苏城外寒山寺，夜半钟声到客船。,747,张继,12271,枫桥夜泊
60,63,燕子飞时，绿水人家绕。,183,苏轼,49481,蝶恋花·春景
61,64,竹外桃花三两枝，春江水暖鸭先知。,183,苏轼,69102,惠崇春江晚景二首 / 惠崇春江晓景二首
62,65,远上寒山石径斜，白云生处有人家。,211,杜牧,27824,山行
63,66,青山绿水，白草红叶黄花。,278,白朴,71197,天净沙·秋
64,67,半卷红旗临易水，霜重鼓寒声不起。,349,李贺,20285,雁门太守行
65,68,天门中断楚江开，碧水东流至此回。,247,李白,8328,望天门山
66,69,自是人生长恨，水长东。,269,李煜,47040,相见欢·林花谢了春红
67,70,黄河远上白云间，一片孤城万仞山。,447,王之涣,70868,凉州词二首·其一
68,71,飞来山上千寻塔，闻说鸡鸣见日升。,405,王安石,69088,登飞来峰
69,72,山光悦鸟性，潭影空人心。,443,常建,6525,题破山寺后禅院
70,73,郁孤台下清江水，中间多少行人泪？,217,辛弃疾,57580,菩萨蛮·书江西造口壁
71,74,西北望长安，可怜无数山。,217,辛弃疾,57580,菩萨蛮·书江西造口壁
72,75,青山遮不住，毕竟东流去。,217,辛弃疾,57580,菩萨蛮·书江西造口壁
73,76,江晚正愁余，山深闻鹧鸪。,217,辛弃疾,57580,菩萨蛮·书江西造口壁
74,77,流水落花春去也，天上人间。,269,李煜,71076,浪淘沙令·帘外雨潺潺
75,78,抽刀断水水更流，举杯消愁愁更愁。,247,李白,8180,宣州谢脁楼饯别校书叔云
76,79,昔闻洞庭水，今上岳阳楼。,474,杜甫,11550,登岳阳楼
77,80,戎马关山北，凭轩涕泗流。,474,杜甫,11550,登岳阳楼
78,81,风休住。蓬舟吹取三山去。,536,李清照,52792,渔家傲·天接云涛连晓雾
79,82,白露横江，水光接天。,183,苏轼,47921,前赤壁赋
80,83,一水护田将绿绕，两山排闼送青来。,405,王安石,69085,书湖阴先生壁
81,84,春山暖日和风，阑干楼阁帘栊，杨柳秋千院中。,278,白朴,71226,天净沙·春
82,85,啼莺舞燕，小桥流水飞红。,278,白朴,71226,天净沙·春
83,86,遥望洞庭山水色，白银盘里一青螺。,197,刘禹锡,19085,望洞庭
84,87,问渠哪得清如许？为有源头活水来。,459,朱熹,69142,观书有感二首·其一
85,88,山不厌高，海不厌深。,552,曹操,48003,短歌行
86,89,云收雨过波添，楼高水冷瓜甜，绿树阴垂画檐。,278,白朴,71388,天净沙·夏
87,90,去来江口守空船，绕船月明江水寒。,665,白居易,21750,琵琶行 / 琵琶引
88,91,树树皆秋色，山山唯落晖。,464,王绩,2369,野望
89,92,峰峦如聚，波涛如怒，山河表里潼关路。,41,张养浩,71201,山坡羊·潼关怀古
90,93,一道残阳铺水中，半江瑟瑟半江红。,665,白居易,22492,暮江吟
91,94,风萧萧兮易水寒，壮士一去兮不复还。,0,,47688,荆轲歌 / 渡易水歌
92,95,相看两不厌，只有敬亭山。,247,李白,8411,独坐敬亭山
93,96,两岸猿声啼不住，轻舟已过万重山。,247,李白,8345,早发白帝城 / 白帝下江陵
94,97,空山不见人，但闻人语响。,515,王维,5737,鹿柴
